word,severity
idiot,offensive
stupid,offensive
dumb,warning
moron,offensive
fool,warning
loser,warning
trash,warning
useless,offensive
pathetic,offensive
annoying,warning
lame,warning
jerk,warning
nonsense,warning
shut up,warning
hate,warning
rude,warning
disgusting,offensive
worthless,offensive
ignorant,warning
clown,warning
weird,warning
lazy,warning
crazy,warning
toxic,warning
garbage,offensive
sucks,warning
terrible,warning
awful,warning
horrible,warning
stupidest,offensive
dumbest,offensive
idiotic,offensive
foolish,warning
nasty,warning
mean,warning
ugly,offensive
ridiculous,warning
absurd,warning
failure,offensive
weak,warning
bobo,offensive
tanga,offensive
gago,offensive
ulol,offensive
tarantado,offensive
engot,offensive
inutil,offensive
walang kwenta,offensive
bwisit,warning
leche,warning
peste,warning
loko,warning
lokohan,warning
sira ulo,offensive
hayop ka,offensive
baliw,warning
tamad,warning
pangit,offensive
walang silbi,offensive
kupal,offensive
lintik,warning
punyeta,warning
ogag,offensive
gunggong,offensive
abnoy,offensive
bobo mo,offensive
tanga mo,offensive
gago mo,offensive
ulol mo,offensive
tarantado ka,offensive
engot ka,offensive
inutil ka,offensive
wala kang kwenta,offensive
hayop ka talaga,offensive
sira ulo ka,offensive
baliw ka,offensive
pangit mo,offensive
you are stupid,offensive
you're stupid,offensive
you are dumb,offensive
you're dumb,offensive
you are an idiot,offensive
you're an idiot,offensive
you are useless,offensive
you're useless,offensive
you are pathetic,offensive
you're pathetic,offensive
you suck,warning
you are trash,offensive
you're trash,offensive
you are annoying,warning
you're annoying,warning
ang bobo mo,offensive
ang tanga mo,offensive
ang gago mo,offensive
ang inutil mo,offensive
ang pangit mo,offensive
ang sira ulo mo,offensive
wala kang silbi,offensive
wala kang kwenta,offensive
ang hina mo,warning
ang tamad mo,warning
ang weird mo,warning
stup1d,offensive
1diot,offensive
dumbass,offensive
id10t,offensive
b0bo,offensive
t4nga,offensive
g4go,offensive
ul0l,offensive
eng0t,offensive
inuti1,offensive
bastard,offensive
jackass,offensive
asshole,offensive
prick,offensive
scumbag,offensive
dimwit,offensive
nitwit,offensive
halfwit,offensive
numbskull,offensive
blockhead,offensive
bonehead,offensive
knucklehead,offensive
pinhead,offensive
airhead,offensive
lamebrain,offensive
scatterbrain,warning
birdbrain,offensive
pea brain,offensive
brainless,offensive
mindless,offensive
witless,offensive
senseless,warning
clueless,warning
hopeless,warning
helpless,warning
worthless person,offensive
good for nothing,offensive
piece of trash,offensive
piece of garbage,offensive
waste of space,offensive
waste of time,offensive
total failure,offensive
complete idiot,offensive
absolute moron,offensive
utter fool,offensive
brain dead,offensive
socially inept,warning
emotionally stunted,warning
mentally challenged,warning
intellectually inferior,offensive
cognitively impaired,warning
socially awkward,warning
socially incompetent,warning
socially retarded,offensive
you're worthless,offensive
you are worthless,offensive
you're hopeless,warning
you are hopeless,warning
you're a loser,offensive
you are a loser,offensive
you're a failure,offensive
you are a failure,offensive
you're garbage,offensive
you are garbage,offensive
you're a moron,offensive
you are a moron,offensive
you're an idiot,offensive
you're a fool,warning
you are a fool,warning
you're a jerk,warning
you are a jerk,warning
you're disgusting,offensive
you are disgusting,offensive
you're pathetic,offensive
you're ridiculous,warning
you are ridiculous,warning
you're a clown,warning
you are a clown,warning
you're a joke,warning
you are a joke,warning
you're embarrassing,warning
you are embarrassing,warning
you're a waste,offensive
you are a waste,offensive
you're nothing,offensive
you are nothing,offensive
you're nobody,warning
you are nobody,warning
you're incompetent,warning
you are incompetent,warning
you're inferior,offensive
you are inferior,offensive
you're beneath me,offensive
you are beneath me,offensive
go away,warning
get lost,warning
fuck,offensive
nigga,offensive
leave me alone,warning
mind your business,warning
butt out,warning
buzz off,warning
back off,warning
get out,warning
drop dead,offensive
go to hell,offensive
screw you,offensive
screw off,offensive
kiss my,offensive
bite me,offensive
shove it,offensive
up yours,offensive
in your face,warning
eat dirt,offensive
eat trash,offensive
you wish,warning
dream on,warning
keep dreaming,warning
fat chance,warning
no way loser,warning
as if,warning
whatever loser,warning
cry about it,warning
go cry,warning
nobody cares,warning
no one cares,warning
deal with it,warning
get over it,warning
cry me a river,warning
boo hoo,warning
so what,warning
who asked you,warning
who cares,warning
